koi_disposition,koi_prad,koi_dicco_msky,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_fpflag_co,koi_fittype,koi_dikco_msky
1,2.26,0.2,0,0,0,0,4,0.32
1,2.83,0.39,0,0,0,0,4,0.5
2,14.6,0.042,0,0,0,0,4,0.027
0,33.46,0.289,0,1,0,0,4,0.276
1,2.75,0.1,0,0,0,0,4,0.07
1,3.9,0.08,0,0,0,0,4,0.08
1,2.77,0.26,0,0,0,0,4,0.19
1,1.59,0.45,0,0,0,0,4,0.5
0,39.21,8.93,0,1,0,1,4,8.948
1,5.76,0.044,0,0,0,0,4,0.031
1,13.04,0.3,0,0,0,0,4,0.27
1,16.1,3.97,0,1,0,0,4,4.19
1,14.59,0.02,0,0,0,0,4,0.178
1,1.16,0.29,0,0,0,0,4,0.21
0,150.51,0.013,0,1,0,0,4,0.151
0,7.18,0.009,0,1,0,0,4,0.152
0,49.29,0.006,0,1,0,0,4,0.203
0,7.94,0.04,0,1,0,0,4,0.017
1,2.47,0.059,0,0,0,0,4,0.346
1,2.85,0.11,0,0,0,0,4,0.3
0,1.58,2.44,0,1,1,1,4,2.49
1,2.55,0.04,0,0,0,0,4,0.04
1,1.7,0.42,0,0,0,0,4,0.42
1,1.3,0.18,0,0,0,0,4,0.22
0,41.5,0.037,0,1,0,0,1,0.163
1,2.95,0.11,0,0,0,0,4,0.36
1,2.78,0.22,0,0,0,0,4,0.11
1,2.3,0.066,0,0,0,0,4,0.158
0,4.53,1.292,0,0,0,1,4,1.144
0,14.14,1.306,0,1,0,1,4,1.092
0,39.87,0.083,0,1,0,0,4,0.074
1,2.82,1.76,0,0,0,0,4,0.04
1,3.86,0.12,0,0,0,0,4,0.08
1,2.65,0.06,0,0,0,0,4,0.05
1,3.1,0.22,0,0,0,0,4,0.19
1,3.36,0.08,0,0,0,0,4,0.15
1,2.12,0.55,0,0,0,0,4,0.65
2,12.21,0.022,0,0,0,0,4,0.08
0,6.54,6.45,0,1,0,1,4,6.51
1,2.1,0.15,0,0,0,0,4,0.19
0,12.42,0.006,0,1,0,0,4,0.043
1,2.94,0.08,0,0,0,0,4,0.24
1,5.5,0.078,0,0,0,0,4,0.085
1,2.52,0.09,0,0,0,0,4,0.17
1,4.43,0.035,0,0,0,0,4,0.075
1,12.21,0.025,0,0,0,0,4,0.162
0,7.34,3.258,0,1,0,1,4,3.353
1,1.89,0.27,0,0,0,0,4,0.3
1,3.25,0.1,0,0,0,0,4,0.07
1,3.95,0.11,0,0,0,0,4,0.15
1,3.07,0.27,0,0,0,0,4,0.18
1,2.64,0.26,0,0,0,0,4,0.41
1,1.79,0.06,0,0,0,0,4,0.23
0,15.03,0.076,0,1,0,0,4,0.122
1,2,0.03,0,0,0,0,4,0.17
1,2.16,0.07,0,0,0,0,4,0.16
1,1.99,0.17,0,0,0,0,4,0.36
1,6.02,0.083,0,0,0,0,4,0.122
2,7.51,0.057,0,0,0,0,4,0.053
1,1.99,0.33,0,0,0,0,4,0.08
0,11.23,0.012,0,1,0,0,4,0.101
1,2.34,0.061,0,0,0,0,4,0.41
2,19.45,0.71,0,0,0,0,4,0.39
2,0.55,0.05,0,0,0,0,4,0.3
1,2.65,0.066,0,0,0,0,4,0.69
1,5.31,0.052,0,0,0,0,4,0.181
1,4.86,0.085,0,0,0,0,4,0.134
1,1.93,0.26,0,0,0,0,4,0.36
1,1.91,0.25,0,0,0,0,4,0.28
1,2.66,0.17,0,0,0,0,4,0.18
1,2.87,0.23,0,0,0,0,4,0.22
0,21.55,5.172,0,1,0,1,4,5.364
0,32.43,0.82,0,0,0,1,4,0.96
1,3.12,0.05,0,0,0,0,4,0.104
1,3.32,0.09,0,0,0,0,4,0.2
1,2.59,0.17,0,0,0,0,4,0.106
1,2.36,0.53,0,0,0,0,4,0.46
1,7.4,0.087,0,0,0,0,4,0.037
0,46.58,0.106,0,1,0,0,4,0.11
0,28.59,5.12,0,1,0,1,4,4.77
1,2.06,0.26,0,0,0,0,4,0.26
1,2.77,0.11,0,0,0,0,4,0.05
0,27.51,7.365,0,1,1,1,4,7.94
2,7.73,0.009,0,0,0,0,4,0.087
1,1.96,0.03,0,0,0,0,4,0.23
1,1.83,0.08,0,0,0,0,4,0.26
1,1.31,0.64,0,0,0,0,4,0.53
1,1.2,0.55,0,0,0,0,4,0.59
1,7.34,0.342,0,0,0,0,4,0.016
1,2.32,0.12,0,0,0,0,4,0.23
1,9.73,0.195,0,0,0,0,4,0.038
2,13.6,0.913,0,0,0,0,4,0.08
2,2.57,0.29,0,0,0,0,4,0.3
0,13.28,0.075,0,1,0,0,4,0.053
1,8.9,0.052,0,0,0,0,4,0.044
1,0.79,0.8,0,0,0,0,4,0.7
1,12.19,0.016,0,0,0,0,4,0.078
0,25.69,6.5,0,0,1,1,4,6.6
0,1.7,9.915,0,0,1,1,4,9.688
1,11.3,0.01,0,0,0,0,4,0.027
2,2.5,0.034,0,0,0,0,4,0.25
1,3.41,0.047,0,0,0,0,4,0.108
1,2.03,0.06,0,0,0,0,4,0.154
0,30.26,3.275,0,1,0,1,4,3.251
1,3.12,0.56,0,0,0,0,4,0.17
1,1.7,0.59,0,0,0,0,4,0.7
1,2.76,0.16,0,0,0,0,4,0.42
1,4.02,0.47,0,0,0,0,4,0.41
1,11.58,0.053,0,0,0,0,4,0.233
2,7.61,0.074,0,0,0,0,4,0.271
1,5.52,0.117,0,0,0,0,4,0.159
1,1.8,0.23,0,0,0,0,4,0.36
1,1.82,0.6,0,0,0,0,4,0.94
1,2.1,0.082,0,0,0,0,4,0.78
0,27.5,0.149,0,1,0,0,4,0.121
2,30.09,0.098,0,0,0,0,4,0.126
0,13.65,11.17,0,1,1,1,4,11.23
1,2.89,0.42,0,0,0,0,4,0.43
1,3.38,0.13,0,0,0,0,4,0.02
0,10.34,0.016,0,1,0,0,4,0.07
1,11.01,0.035,0,0,0,0,4,0.112
